869,869,869,869,869
apple,pomme,manzana,苹果,सेब
days,jours,días,天,दिन
marks,marques,marcas,标记,निशान
How,Comment,Cómo,如何,कैसे
quote,citation,cita,引用,उद्धरण
sites,sites,sitios,站点,साइटों
church,église,iglesia,教会,गिरजाघर
Otherwise,Sinon,De lo contrario,否则,अन्यथा
Brian,Brian,Brian,布莱恩,ब्रायन
Mill,Moulin,Molino,磨,चक्की
Sara,Sara,Sara,萨拉,सारा
posing,pose,posando,摆姿势,प्रस्तुत
lid,couvercle,tapa,盖,ढक्कन
vertex,sommet,vértice,顶点,शिखर
1944,1944,1944,1944年,1944
language,langue,idioma,语言,भाषा
header,tête,encabezamiento,标题,हैडर
bout,combat,combate,回合,बार
rowed,radié,remo,划船,नाव
space,espace,espacio,空间,अंतरिक्ष
retrieve,récupérer,recuperar,取回,पुनः प्राप्त करना
stream,flux,arroyo,溪流,धारा
jaw,mâchoire,mandíbula,颚,जबड़ा
565,565,565,565,565
din,vacarme,estruendo,丁,शोर
effect,effet,efecto,影响,प्रभाव
hind,de derrière,posterior,后,पिछला
85%,85%,85%,85％,85%
gate,grille,puerta,门,दरवाज़ा
Ciudad,Ciudad,Ciudad,Ciudad,Ciudad
Article,Article,Artículo,文章,लेख
Offer,Offre,Oferta,提供,प्रस्ताव
pen,stylo,bolígrafo,笔,कलम
attention,attention,atención,注意力,ध्यान
actually,en fait,de hecho,实际上,वास्तव में
Care,Soins,Cuidado,关心,देखभाल करना
fine,bien,bien,美好的,अच्छा
bete,bete,bete,贝特,धुर
add,ajouter,agregar,添加,जोड़ना
Jose,Jose,José,何塞,जोस
trio,trio,trío,三人组,तिकड़ी
1865,1865,1865,1865年,1865
translate,traduire,traducir,翻译,अनुवाद
never,jamais,nunca,绝不,कभी नहीं
mar,mar,mar,3月,मार्च
Philip,Philippe,Filipes,菲利普,फ़िलिप
rides,promenades,paseos,游乐设施,सवारी
frame,cadre,marco,框架,चौखटा
aces,as,aces,ACES,इक्के
aching,douloureux,dolor,酸痛,दर्द
bush,buisson,arbusto,衬套,झाड़ी
175,175,175,175,175
bank,banque,banco,银行,किनारा
Also,Aussi,También,还,भी
handlers,gestionnaires,manejadores,处理者,संचालकों
Further,Plus loin,Más,更远,आगे
south,sud,sur,南,दक्षिण
fetch,aller chercher,buscar,拿来,लाना
Park,Parc,Parque,公园,पार्क
Wizard,Magicien,Mago,向导,जादूगर
Route,Itinéraire,Ruta,路线,मार्ग
it's,c'est,es,它是,इसका
He's,Il est,El es,他是,वह है
pot,pot,olla,锅,बर्तन
Lemma,Lemme,Lema,引理,लेम्मा
Bob,Bob,Chelín,鲍勃,बीओबी
Patrick,Patrick,Patricio,帕特里克,पैट्रिक
rule,règle,regla,规则,नियम
Wood,Bois,Madera,木头,लकड़ी
nor,ni,ni,也不,और न
123,123,123,123,123
vehicle,véhicule,vehículo,车辆,वाहन
have,avoir,tener,有,पास होना
rash,éruption cutanée,erupción,皮疹,खरोंच
platform,plate-forme,plataforma,平台,प्लैटफ़ॉर्म
Then,Alors,Entonces,然后,तब
March,Mars,Marzo,行进,मार्च
Saturday,Samedi,Sábado,周六,शनिवार
CDC,CDC,Centros para el Control y la Prevención de Enfermedades,CDC,CDC
236,236,236,236,236
Lay,Poser,Poner,放置,बिछाना
mean,signifier,significar,意思是,अर्थ
Cole,Cole,Col,油菜,गोभी
credit,crédit,crédito,信用,श्रेय
124,124,124,124,124
1929,1929,1929,1929年,1929
415,415,415,415,415
needs,besoins,necesidades,需要,आवश्यकताओं
2-3,2-3,2-3,2-3,2-3
1024,1024,1024,1024,1024
Close,Fermer,Cerca,关闭,बंद करना
enfant,enfant,encender,Enfant,लपेटना
She,Elle,Ella,她,वह
flows,coulées,flujos,流,प्रवाह
Eye,Œil,Ojo,眼睛,आँख
References,Références,Referencias,参考,संदर्भ
treatment,traitement,tratamiento,治疗,इलाज
validate,valider,validar,证实,मान्य
Robin,Roupler,Petirrojo,罗宾,रोबिन
configuration,configuration,configuración,配置,विन्यास
water,eau,agua,水,पानी
status,statut,estado,地位,स्थिति
its,c'est,es,它是,इसका
party,faire la fête,fiesta,派对,दल
Thay,Thay,Thay,Thay,बताने वाली
Want,Vouloir,Desear,想,चाहना
12',12 ',12 ',12',12 '
extra,supplémentaire,extra,额外的,अतिरिक्त
140,140,140,140,140
emit,émettre,emitir,发射,फेंकना
Ross,Ross,Ross,罗斯,रॉस
mare,jument,yegua,母马,घोड़ी
Party,Faire la fête,Fiesta,派对,दल
Bridge,Pont,Puente,桥,पुल
were,étaient,eran,是,थे
attack,attaque,ataque,攻击,आक्रमण करना
route,itinéraire,ruta,路线,मार्ग
panel,panneau,panel,控制板,पैनल
tsh,TSH,TSH,TSH,टीएसएच
slashes,barre,barras,斜线,स्लैश
his,son,su,他的,उसका
authenticate,authentifier,autenticar,认证,प्रमाणित
Lew,Lew,Marear,Lew,ल्यू
orientation,orientation,orientación,方向,अभिविन्यास
DSM,DSM,DSM,DSM,डीएसएम
aux,Aux,aux,辅助,आंगन
1976,1976,1976,1976年,1976
phrase,phrase,frase,短语,वाक्यांश
write,écrire,escribir,写,लिखना
quest,quête,búsqueda,寻求,खोज
Bell,Cloche,Campana,钟,घंटी
paces,rythmes,ritmo,步伐,ज्ञान प्राप्त किया
interval,intervalle,intervalo,间隔,अंतराल
represent,représenter,representar,代表,प्रतिनिधित्व करना
slice,tranche,rebanada,片,टुकड़ा
building,bâtiment,edificio,建筑,इमारत
percent,pour cent,por ciento,百分比,प्रतिशत
arm,bras,brazo,手臂,हाथ
night,nuit,noche,夜晚,रात
orange,orange,naranja,橙子,नारंगी
not,pas,no,不是,नहीं
I'm,Je suis,Soy,我是,मैं हूँ
arena,arène,arena,竞技场,अखाड़ा
Bits,Bits,Brocas,位,बिट्स
their,leur,su,他们的,उनका
605,605,605,605,605
places,lieux,lugares,地方,स्थानों
essay,essai,ensayo,散文,निबंध
Construct,Construction,Construir,构造,निर्माण
each,chaque,cada,每个,प्रत्येक
constants,constantes,constantes,常数,स्थिरांक
strip,bande,banda,条,पट्टी
sum,somme,suma,和,जोड़
alignment,alignement,alineación,结盟,संरेखण
Read,Lire,Leer,读,पढ़ना
form,formulaire,forma,形式,रूप
Organ,Organe,Órgano,器官,अंग
opens,ouvrir,abertura,打开,खोलना
formerly,anciennement,antes,以前,पूर्व
nap,somme,siesta,午睡,झपकी लेना
boundary,limite,límite,边界,सीमा
bin,bac,papelera,垃圾桶,बिन
concept,concept,concepto,概念,अवधारणा
pie,tarte,pastel,馅饼,पाई
Iran,L'Iran,Irán,伊朗,ईरान
was,était,era,曾是,था
Nicolas,Nicolas,Nicolás,尼古拉斯,निकोलस
River,Rivière,Río,河,नदी
poses,poses,poses,姿势,बन गया है
portal,portail,portal,门户网站,बंदरगाह
Any,N'importe lequel,Cualquier,任何,कोई
Form,Formulaire,Forma,形式,रूप
963,963,963,963,963
inn,auberge,posada,客栈,सराय
Amy,Amy,Amy,艾米,एमी
Mind,Esprit,Mente,头脑,दिमाग
Mac,Mac,Impermeable,苹果,मैक
196,196,196,196,196
render,rendre,prestar,使成为,प्रदान करना
Danny,Danny,Danny,丹尼,डैनी
engine,moteur,motor,引擎,इंजन
joy,joie,alegría,喜悦,आनंद
core,cœur,centro,核,मुख्य
ratio,rapport,relación,比率,अनुपात
und,und,UND,和,-und
digit,chiffre,dígito,数字,अंक
ever,jamais,alguna vez,曾经,कभी
reduce,réduire,reducir,减少,कम करना
class,classe,clase,班级,कक्षा
stack,empiler,pila,堆,ढेर
variables,variables,variables,变量,चर
heart,cœur,corazón,心,दिल
Product,Produit,Producto,产品,उत्पाद
study,étude,estudiar,学习,अध्ययन
settings,paramètres,ajustes,设置,सेटिंग
Chain,Chaîne,Cadena,链,जंजीर
idol,idole,ídolo,偶像,प्रतिमा
1931,1931,1931,1931年,1931
161,161,161,161,161
favor,service,favor,恩宠,कृपादृष्टि
392,392,392,392,392
Santa,Père Noël,Santa,圣诞老人,सांता
Commission,Commission,Comisión,委员会,आयोग
Steps,Mesures,Pasos,步骤,कदम
Johnson,Johnson,Johnson,约翰逊,जॉनसन
bomb,bombe,bomba,炸弹,बम
hub,moyeu,centro,中心,केंद्र
compile,compiler,compilar,编译,संकलन
inventory,inventaire,inventario,存货,भंडार
integration,intégration,integración,一体化,एकीकरण
comments,commentaires,comentario,评论,सूचना
algorithm,algorithme,algoritmo,算法,एल्गोरिथम
90%,90%,90%,90％,90%
give,donner,dar,给,देना
Ontario,Ontario,Ontario,安大略省,ओंटारियो
Hit,Frapper,Golpear,打,मार
interest,intérêt,interés,兴趣,दिलचस्पी
Changes,Changements,Cambios,更改,परिवर्तन
gram,gramme,gramo,克,ग्राम
match,correspondre,fósforo,匹配,मिलान
ears,oreilles,orejas,耳朵,कान
Working,Fonctionnement,Laboral,在职的,कार्यरत
November,Novembre,Noviembre,十一月,नवंबर
You'll,Tu,Tu,你会的,आप
1/4,1/4,1/4,1/4,1/4
mission,mission,misión,使命,उद्देश्य
minutes,minutes,minutos,分钟,मिनट
forge,forge,fragua,锻造,फोर्ज
rum,rhum,Ron,朗姆酒,रम
columns,colonnes,columnas,列,कॉलम
year,année,año,年,वर्ष
Session,Session,Sesión,会议,सत्र
portion,partie,parte,部分,भाग
1848,1848,1848,1848年,1848
Policy,Politique,Política,政策,नीति
Post,Poste,Correo,邮政,डाक
103,103,103,103,103
payment,paiement,pago,支付,भुगतान
lying,couché,mintiendo,说谎,झूठ बोलना
Manchester,Manchester,Manchester,曼彻斯特,मैनचेस्टर
Paint,Peinture,Pintar,画,रँगना
trace,tracer,rastro,痕迹,पता लगाना
transaction,transaction,transacción,交易,लेन-देन
Forest,Forêt,Bosque,森林,जंगल
281,281,281,281,281
Allow,Permettre,Permitir,允许,अनुमति दें
Vehicle,Véhicule,Vehículo,车辆,वाहन
occasion,occasion,ocasión,场合,अवसर
Foot,Pied,Pie,脚,पैर
hop,houblon,brincar,跳,कूदना
codes,codes,codos,代码,कोड
1899,1899,1899,1899年,1899
although,bien que,a pesar de,虽然,हालांकि
Alexandre,Alexandre,Alexandre,亚历山大,एलेक्जेंडर
anger,colère,enojo,愤怒,गुस्सा
navigation,navigation,navegación,导航,मार्गदर्शन
talk,parler,hablar,讲话,बात करना
heap,tas,montón,堆,ढेर
Louis,Louis,Louis,路易,लुई
Position,Position,Posición,位置,पद
constant,constante,constante,持续的,स्थिर
Plane,Avion,Avión,飞机,विमान
Action,Action,Acción,行动,कार्रवाई
Scene,Scène,Escena,场景,दृश्य
We've,Nous avons,Tenemos,我们已经,हमने
Israel,Israël,Israel,以色列,इज़राइल
mark,marque,marca,标记,निशान
pole,pôle,polo,极,खंभा
traits,caractéristiques,rasgos,特质,लक्षण
love,amour,amar,爱,प्यार
Feature,Fonctionnalité,Característica,特征,विशेषता
334,334,334,334,334
Movement,Mouvement,Movimiento,移动,आंदोलन
20%,20%,20%,20％,20%
express,exprimer,expresar,表达,अभिव्यक्त करना
October,Octobre,Octubre,十月,अक्टूबर
216,216,216,216,216
Son,Fils,Hijo,儿子,पुत्र
DES,Des,Desesperación,des,डेस
lining,garniture,recubrimiento,衬垫,परत
questions,questions,preguntas,问题,प्रश्न
Wednesday,Mercredi,Miércoles,周三,बुधवार
cell,cellule,celúla,细胞,कक्ष
1970,1970,1970,1970年,1970
camp,camp,acampar,营,शिविर
dans,pavé,dans,丹斯,दहेज
lies,mensonges,mentiras,撒谎,झूठ
Process,Processus,Proceso,过程,प्रक्रिया
connection,connexion,conexión,联系,कनेक्शन
Suppose,Supposer,Suponer,认为,कल्पना करना
Organization,Organisation,Organización,组织,संगठन
resent,en vouloir,resentirse de,怨恨,क्रोध करना
Key,Clé,Llave,钥匙,चाबी
thread,fil,hilo,线,धागा
slash,sabrer,barra oblicua,削减,स्लैश
storm,tempête,tormenta,风暴,आंधी
end,fin,fin,结尾,अंत
fern,fougère,helecho,蕨类,फ़र्न
Very,Très,Muy,非常,बहुत
impact,impact,impacto,影响,प्रभाव
Ade,Ade,Ade,阿德,एडीई
force,forcer,fuerza,力量,बल
les,les,les,莱斯,लेस
Colombia,Colombie,Colombia,哥伦比亚,कोलंबिया
Fund,Fonds,Financiar,基金,फंड
Rock,Rocher,Roca,岩石,चट्टान
extend,étendre,extender,延长,बढ़ाना
wedge,coin,cuña,楔,कील
Way,Chemin,Forma,方式,रास्ता
258,258,258,258,258
inter,entre,enterrar,间,इंटर
jobs,emplois,trabajos,工作,नौकरियां
News,Nouvelles,Noticias,消息,समाचार
creature,créature,criatura,生物,प्राणी
Channel,Canal,Canal,渠道,चैनल
rim,jante,borde,轮缘,किनारा
grant,accorder,conceder,授予,अनुदान
Pak,Pak,Paquete,帕克,पाक
tool,outil,herramienta,工具,औजार
Association,Association,Asociación,协会,संगठन
1980,1980,1980,1980,1980
Brush,Brosse,Cepillar,刷子,ब्रश
drag,traîner,arrastrar,拖,खींचना
notice,avis,aviso,注意,सूचना
Drop,Baisse,Gota,降低,बूँद
roses,roses,rosas,玫瑰,गुलाब के फूल
search,recherche,buscar,搜索,खोज
Listen,Écouter,Escuchar,听,सुनना
characters,personnages,personajes,人物,वर्ण
Arte,Arte,Arte,艺术,आर्टे
Calls,Appels,Llamadas,呼叫,कॉल
orb,orbe,orbe,球,ओर्ब
market,marché,mercado,市场,बाज़ार
Craft,Artisanat,Artesanía,工艺,शिल्प
Motion,Mouvement,Movimiento,运动,गति
Pack,Paquet,Embalar,盒,सामान बाँधना
Draw,Dessiner,Dibujar,画,खींचना
interpret,interpréter,interpretar,解释,व्याख्या
Okay,D'accord,Bueno,好的,ठीक है
ashes,cendres,cenizas,骨灰,राख
1/2,1/2,1/2,1/2,1/2
Community,Communauté,Comunidad,社区,समुदाय
girl,fille,chica,女孩,लड़की
Control,Contrôle,Control,控制,नियंत्रण
plus,plus,más,加,प्लस
edit,modifier,editar,编辑,संपादन करना
185,185,185,185,185
Stan,Stan,Stan,斯坦,स्टेन
Daniel,Daniel,Daniel,丹尼尔,डैनियल
follow,suivre,seguir,跟随,अनुसरण करना
steps,mesures,pasos,步骤,कदम
police,police,policía,警察,पुलिस
instances,instances,instancias,实例,उदाहरण
father,père,padre,父亲,पिता
Jakarta,Jakarta,Jacarta,雅加达,जकार्ता
Actually,En fait,De hecho,实际上,वास्तव में
bolo,bolo,bolo,Bolo,बोलो
Where's,Où,Donde esta,在哪里,कहाँ है
who,OMS,OMS,WHO,कौन
Boy,Garçon,Chico,男生,लड़का
sing,chanter,cantar,唱歌,गाओ
828,828,828,828,828
1897,1897,1897,1897年,1897
Use,Utiliser,Usar,使用,उपयोग
radio,radio,radio,收音机,रेडियो
NBC,NBC,NBC,NBC,एनबीसी
roller,rouleau,rodillo,滚筒,रोलर
label,étiquette,etiqueta,标签,लेबल
